number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_at,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,closed_code,resolved_by,resolved_at,closed_at
INC100000,New,False,3,3,9,False,user3,user3,2023-12-09 03:52:00,user2,2023-12-09 03:52:00,user4,2023-12-10 13:52:00,Email,Bangalore,Network,Packet Loss,Packet Loss issue observed,Server-17,Low,High,P3,Security Team,user2,False,False,True,PRB4055,RFC8530,Azure,User Error,Cancelled,user3,2023-12-09 20:52:00,2023-12-10 13:52:00
INC100001,In Progress,False,5,2,3,False,user3,user4,2023-10-30 12:15:00,user5,2023-10-30 12:15:00,user4,2023-11-01 16:15:00,Portal,Bangalore,Network,Latency,Latency issue observed,Server-41,Low,High,P3,L1 Support,user3,True,False,False,PRB8948,RFC8290,OnPrem,Hardware,Duplicate,user5,2023-10-31 23:15:00,2023-11-01 16:15:00
INC100002,New,False,1,1,5,True,user2,user4,2024-06-05 05:28:00,user1,2024-06-05 05:28:00,user3,2024-06-06 11:28:00,Email,Delhi,Database,Deadlock,Deadlock issue observed,Server-6,Medium,Medium,P2,DB Team,user1,False,True,True,PRB9123,RFC7950,GCP,Network,Duplicate,user5,2024-06-06 06:28:00,2024-06-06 11:28:00
INC100003,Resolved,False,2,2,6,True,user1,user2,2024-07-03 05:51:00,user2,2024-07-03 05:51:00,user2,2024-07-06 15:51:00,Portal,Bangalore,Security,Access,Access issue observed,Server-27,Low,Low,P3,Network Team,user5,True,False,True,PRB5398,RFC3871,Azure,User Error,Solved,user2,2024-07-06 00:51:00,2024-07-06 15:51:00
INC100004,Closed,True,5,3,3,False,user4,user3,2023-09-19 03:57:00,user2,2023-09-19 03:57:00,user3,2023-09-20 02:57:00,Phone,Kolkata,Database,Connection,Connection issue observed,Server-88,High,Medium,P1,L2 Support,user1,True,True,True,PRB3339,RFC1945,OnPrem,Network,Duplicate,user2,2023-09-19 18:57:00,2023-09-20 02:57:00
INC100005,Resolved,True,0,3,10,False,user1,user4,2024-01-16 12:15:00,user4,2024-01-16 12:15:00,user2,2024-01-19 07:15:00,Email,Delhi,Security,Vulnerability,Vulnerability issue observed,Server-30,Medium,High,P2,L1 Support,user4,False,False,False,PRB6077,RFC6548,GCP,Software,Duplicate,user3,2024-01-18 09:15:00,2024-01-19 07:15:00
INC100006,Closed,False,2,1,7,False,user5,user1,2023-07-18 20:35:00,user1,2023-07-18 20:35:00,user2,2023-07-21 10:35:00,Email,Delhi,Network,Packet Loss,Packet Loss issue observed,Server-45,Medium,Low,P2,L1 Support,user4,True,False,True,PRB2445,RFC6162,AWS,Software,Solved,user1,2023-07-21 06:35:00,2023-07-21 10:35:00
INC100007,In Progress,True,4,0,1,False,user3,user1,2023-07-21 11:00:00,user1,2023-07-21 11:00:00,user1,2023-07-24 03:00:00,Portal,Bangalore,Database,Query Slow,Query Slow issue observed,Server-53,High,Medium,P1,Security Team,user3,False,False,True,PRB1368,RFC7018,AWS,Hardware,Cancelled,user3,2023-07-23 08:00:00,2023-07-24 03:00:00
INC100008,In Progress,False,4,0,5,False,user3,user2,2023-07-17 23:33:00,user3,2023-07-17 23:33:00,user3,2023-07-21 01:33:00,Email,Delhi,Infrastructure,Disk,Disk issue observed,Server-5,Low,High,P3,DB Team,user2,False,True,False,PRB9432,RFC9325,AWS,Software,Duplicate,user4,2023-07-20 22:33:00,2023-07-21 01:33:00
INC100009,In Progress,False,5,1,6,False,user3,user4,2024-04-23 02:56:00,user1,2024-04-23 02:56:00,user3,2024-04-26 18:56:00,Phone,Mumbai,Security,Vulnerability,Vulnerability issue observed,Server-46,Low,High,P3,L1 Support,user2,True,False,False,PRB3605,RFC5770,OnPrem,Hardware,Solved,user2,2024-04-25 23:56:00,2024-04-26 18:56:00
